gene,gender,age_from,age_to,phenotype,heterozygous_rr,homozygous_rr
BRCA1,F,0,29,BreastCancer,73.7,73.7
BRCA1,F,30,39,BreastCancer,46.2,46.2
BRCA1,F,40,49,BreastCancer,17.2,17.2
BRCA1,F,50,59,BreastCancer,9.7,9.7
BRCA1,F,60,69,BreastCancer,7.0,7.0
BRCA1,F,70,79,BreastCancer,4.8,4.8
BRCA1,F,80,,BreastCancer,1.0,1.0
BRCA1,M,0,79,BreastCancer,8.0,8.0
BRCA1,M,80,,BreastCancer,1.0,1.0
BRCA1,F,0,29,OvarianCancer,1.0,1.0
BRCA1,F,30,39,OvarianCancer,41.4,41.4
BRCA1,F,40,49,OvarianCancer,56.7,56.7
BRCA1,F,50,59,OvarianCancer,53.3,53.3
BRCA1,F,60,69,OvarianCancer,69.1,69.1
BRCA1,F,70,79,OvarianCancer,11.8,11.8
BRCA1,F,80,,OvarianCancer,1.0,1.0
BRCA1,M,0,,OvarianCancer,1.0,1.0
BRCA1,F,0,49,PancreaticCancer,4.68,4.68
BRCA1,F,50,79,PancreaticCancer,1.40,1.40
BRCA1,F,80,,PancreaticCancer,1.0,1.0
BRCA1,M,0,49,PancreaticCancer,4.68,4.68
BRCA1,M,50,79,PancreaticCancer,1.40,1.40
BRCA1,M,80,,PancreaticCancer,1.0,1.0
